,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Port Hardy,50.6996,-127.4199,285.15,71,40,3.6,CA,Tue May  4 14:38:47 2021
1,Port Augusta,-32.5,137.7667,285.15,66,3,5.14,AU,Tue May  4 14:38:48 2021
2,Hermanus,-34.4187,19.2345,292.04,82,18,1.79,ZA,Tue May  4 14:38:48 2021
3,Malé,4.1748,73.5089,302.15,84,75,1.03,MV,Tue May  4 14:38:49 2021
4,Registro,-24.4875,-47.8436,301.63,52,8,0.93,BR,Tue May  4 14:38:49 2021
5,Nikolskoye,59.7035,30.7861,275.37,93,90,4.0,RU,Tue May  4 14:38:49 2021
6,Qaanaaq,77.484,-69.3632,272.32,73,91,1.31,GL,Tue May  4 14:38:50 2021
7,Kavaratti,10.5669,72.642,302.76,72,66,2.38,IN,Tue May  4 14:38:50 2021
8,Busselton,-33.65,115.3333,288.71,96,100,0.89,AU,Tue May  4 14:38:50 2021
9,Rikitea,-23.1203,-134.9692,299.0,81,100,6.04,PF,Tue May  4 14:38:51 2021
10,Bambous Virieux,-20.3428,57.7575,299.15,89,40,1.03,MU,Tue May  4 14:38:51 2021
11,Margate,51.3813,1.3862,283.71,52,43,1.34,GB,Tue May  4 14:38:51 2021
12,Ushuaia,-54.8,-68.3,279.15,87,75,13.89,AR,Tue May  4 14:38:52 2021
13,Beringovskiy,63.05,179.3167,269.56,92,88,1.02,RU,Tue May  4 14:38:52 2021
14,Nome,64.5011,-165.4064,274.15,55,1,1.29,US,Tue May  4 14:38:52 2021
15,Barrow,71.2906,-156.7887,264.15,73,90,2.06,US,Tue May  4 14:36:21 2021
16,Sandwick,60.0,-1.25,279.15,61,40,10.29,GB,Tue May  4 14:38:53 2021
17,Troitskoye,52.9821,84.6757,278.8,54,26,1.83,RU,Tue May  4 14:38:53 2021
18,Cape Town,-33.9258,18.4232,293.71,88,75,4.63,ZA,Tue May  4 14:36:11 2021
19,Hobart,-42.8794,147.3294,280.37,87,8,4.12,AU,Tue May  4 14:37:47 2021
