,City,Lat,Lng,Max Temp,Humiduty,Cloudiness,Wind Speed,Country,Date
0,San Vicente,-26.6167,-54.1333,281.16,58,0,1.58,AR,Wed Apr 28 22:37:07 2021
1,Punta Arenas,-53.15,-70.9167,278.15,81,75,7.72,CL,Wed Apr 28 22:37:26 2021
2,Jamestown,42.097,-79.2353,291.15,88,75,4.63,US,Wed Apr 28 22:32:42 2021
3,Harper,4.375,-7.7169,299.55,83,82,2.7,LR,Wed Apr 28 22:37:27 2021
4,Vaini,-21.2,-175.2,300.15,89,75,3.6,TO,Wed Apr 28 22:37:27 2021
5,Hong Kong,22.2855,114.1577,297.59,72,54,0.45,HK,Wed Apr 28 22:37:28 2021
6,Japura,-0.3167,102.35,301.65,79,100,1.42,ID,Wed Apr 28 22:37:28 2021
7,Odiongan,12.4017,121.9919,301.68,63,88,3.1,PH,Wed Apr 28 22:37:28 2021
8,Saint-Philippe,-21.3585,55.7679,297.15,69,0,3.6,RE,Wed Apr 28 22:35:46 2021
9,Adrar,20.5022,-10.0711,299.99,25,6,4.4,MR,Wed Apr 28 22:37:29 2021
10,Mogadishu,2.0371,45.3438,301.27,74,16,4.35,SO,Wed Apr 28 22:35:33 2021
11,Tagusao,9.1924,117.8141,303.04,65,95,2.55,PH,Wed Apr 28 22:37:29 2021
12,Hay River,60.8156,-115.7999,271.15,54,50,3.09,CA,Wed Apr 28 22:33:11 2021
13,Busselton,-33.65,115.3333,295.93,82,100,3.13,AU,Wed Apr 28 22:37:31 2021
14,East London,-33.0153,27.9116,292.15,82,100,5.38,ZA,Wed Apr 28 22:37:32 2021
15,Coruripe,-10.1256,-36.1756,297.55,88,42,3.32,BR,Wed Apr 28 22:37:32 2021
16,Ushuaia,-54.8,-68.3,275.15,87,40,10.8,AR,Wed Apr 28 22:36:33 2021
17,Saskylakh,71.9167,114.0833,272.45,83,92,3.74,RU,Wed Apr 28 22:37:33 2021
18,Port-Cartier,50.0334,-66.8654,279.26,70,75,2.57,CA,Wed Apr 28 22:37:33 2021
19,Carnarvon,-24.8667,113.6333,298.15,50,0,3.09,AU,Wed Apr 28 22:37:33 2021
20,Rikitea,-23.1203,-134.9692,297.44,65,84,4.72,PF,Wed Apr 28 22:37:24 2021
21,Les Cayes,18.2,-73.75,296.36,83,2,1.76,HT,Wed Apr 28 22:36:04 2021
22,Salalah,17.0151,54.0924,302.15,79,75,2.06,OM,Wed Apr 28 22:37:34 2021
23,Simao,22.7886,100.9748,295.93,64,40,1.77,CN,Wed Apr 28 22:37:34 2021
24,Lavrentiya,65.5833,-171.0,270.55,76,8,2.7,RU,Wed Apr 28 22:37:35 2021
25,George Town,5.4112,100.3354,304.15,74,20,1.54,MY,Wed Apr 28 22:37:35 2021
26,Hobart,-42.8794,147.3294,291.48,59,75,3.6,AU,Wed Apr 28 22:33:44 2021
27,Cockburn Town,21.4612,-71.1419,298.67,75,53,9.37,TC,Wed Apr 28 22:36:36 2021
28,Kananga,-5.8958,22.4178,293.51,95,100,1.18,CD,Wed Apr 28 22:37:36 2021
29,Nouadhibou,20.931,-17.0347,292.15,94,22,5.66,MR,Wed Apr 28 22:37:36 2021
30,Forsytheganj,52.6333,29.7333,274.42,81,36,3.08,BY,Wed Apr 28 22:37:37 2021
31,Lompoc,34.6391,-120.4579,289.15,77,0,5.14,US,Wed Apr 28 22:37:37 2021
32,Kapaa,22.0752,-159.319,296.48,94,90,6.69,US,Wed Apr 28 22:37:37 2021
33,Chui,-33.6971,-53.4616,285.65,88,2,1.61,UY,Wed Apr 28 22:32:38 2021
34,Longyearbyen,78.2186,15.6401,266.15,73,75,6.69,SJ,Wed Apr 28 22:37:38 2021
35,Timizart,36.8,4.2667,286.34,87,96,1.31,DZ,Wed Apr 28 22:37:38 2021
36,Atuona,-9.8,-139.0333,299.61,72,33,5.02,PF,Wed Apr 28 22:37:39 2021
37,Vardø,70.3705,31.1107,268.15,86,40,5.14,NO,Wed Apr 28 22:37:39 2021
38,Palmer,42.1584,-72.3287,288.15,100,40,0.86,US,Wed Apr 28 22:37:39 2021
39,Yellowknife,62.456,-114.3525,268.15,58,75,6.17,CA,Wed Apr 28 22:37:40 2021
40,Qaanaaq,77.484,-69.3632,267.84,88,100,2.15,GL,Wed Apr 28 22:37:40 2021
41,San Francisco,37.7749,-122.4194,294.15,40,20,9.26,US,Wed Apr 28 22:35:04 2021
42,Lüderitz,-26.6481,15.1594,288.23,73,11,9.59,NA,Wed Apr 28 22:37:41 2021
43,Omsukchan,62.5333,155.8,273.51,87,85,1.4,RU,Wed Apr 28 22:37:41 2021
44,Limulunga,-15.0969,23.1376,290.04,86,59,2.15,ZM,Wed Apr 28 22:37:41 2021
